UNIT_id,pick_count,delivery_c,count_work,count_live,count_shop,count_play,count_elem,pop_home,pop_work,lon,lat
18622,0.0,24.0,-0.5119070481935137,-0.596459886975884,-0.585996813376294,-0.5308587034762445,-0.4707421201058256,-0.31123898809800515,-0.31123898809800515,0.467996894068408,1.6997311075568295
18623,0.0,26.0,-0.5398042431058722,-0.5055364208295725,-0.5484536365530969,-0.6527215355134798,-0.4707421201058256,-0.9981888617607552,-0.9981888617607552,0.5339913172885936,1.6997311075568295
18624,0.0,17.0,-0.4840098532811552,-0.32368948853694945,-0.585996813376294,-0.6527215355134798,-0.4707421201058256,-0.7610009574993496,-0.7610009574993496,0.5999857405087792,1.6997311075568295
18625,0.0,17.0,-0.5677014380182307,-0.5055364208295725,-0.585996813376294,-0.6527215355134798,-0.4707421201058256,-0.8946189413015969,-0.8946189413015969,0.6659801637289647,1.6997311075568295
18626,0.0,0.0,-0.5677014380182307,-0.6419216200490399,-0.585996813376294,-0.6527215355134798,-0.4707421201058256,-1.0717107188768242,-1.0717107188768242,0.7319745869491504,1.6997311075568295
18627,0.0,0.0,-0.5677014380182307,-0.6419216200490399,-0.5672252249646954,-0.5308587034762445,-0.3774800027377476,-1.0733090201184778,-1.0733090201184778,0.797969010169336,1.6997311075568295
18628,0.0,0.0,-0.5677014380182307,-0.6419216200490399,-0.585996813376294,-0.6527215355134798,-0.4707421201058256,-0.8684068009384767,-0.8684068009384767,0.8639634333895215,1.6997311075568295
18629,0.0,53.0,-0.5677014380182307,-0.3691512216101052,-0.4921388713183012,-0.16527020736453898,-0.4707421201058256,-0.3093210266080207,-0.3093210266080207,0.9299578566097072,1.6997311075568295
18630,1.0,57.0,-0.1492435143328532,-0.46007468775641674,0.5590700797312178,0.32218112078440175,1.8608108140961241,0.6026696618795669,0.6026696618795669,0.9959522798298928,1.6997311075568295
18631,35.0,25.0,0.7434667228626187,0.31277477448723146,-0.004077572616738826,0.07845545670993138,-0.09769365063351364,0.5211562985552295,0.5211562985552295,1.0619467030500784,1.6997311075568295
18632,0.0,8.0,-0.12134631942049472,-0.6419216200490399,-0.5109104597298998,-0.16527020736453898,-0.4707421201058256,-0.9249866648930168,-0.9249866648930168,1.1279411262702639,1.6997311075568295
18633,0.0,0.0,-0.5677014380182307,-0.596459886975884,-0.5672252249646954,-0.6527215355134798,-0.4707421201058256,-1.0752269816084623,-1.0752269816084623,1.1939355494904496,1.6997311075568295
18634,0.0,0.0,-0.5677014380182307,-0.6419216200490399,-0.585996813376294,-0.6527215355134798,-0.4707421201058256,-1.072030379125155,-1.072030379125155,1.2599299727106352,1.6997311075568295
18809,0.0,1.0,-0.5677014380182307,-0.6419216200490399,-0.5672252249646954,-0.6527215355134798,-0.4707421201058256,-1.0560473667086183,-1.0560473667086183,-0.7858971471151183,1.7671070120780379
18810,0.0,14.0,-0.3724210736317212,-0.32368948853694945,-0.4358241060835055,0.2003182887471666,-0.1909557680015916,-0.6395300631336702,-0.6395300631336702,-0.7199027238949327,1.7671070120780379
18811,0.0,8.0,-0.4282154634564382,-0.3691512216101052,-0.4358241060835055,0.6877696168961074,-0.4707421201058256,0.6669213717940448,0.6669213717940448,-0.6539083006747471,1.7671070120780379
18812,0.0,14.0,-0.5119070481935137,-0.3691512216101052,-0.4921388713183012,-0.5308587034762445,-0.4707421201058256,-0.941608997806215,-0.941608997806215,-0.5879138774545615,1.7671070120780379
18813,0.0,10.0,-0.5119070481935137,-0.596459886975884,-0.585996813376294,-0.6527215355134798,-0.4707421201058256,-1.0180077971572608,-1.0180077971572608,-0.5219194542343759,1.7671070120780379
