src_id,dst_id,weight
8103,8308,1.0
8103,8309,3.0
8103,8513,5.0
8103,8515,2.0
8103,8518,1.0
8103,8519,1.0
7888,8094,2.0
7888,8100,1.0
7896,8513,2.0
8099,8513,2.0
8099,8719,1.0
8100,8103,1.0
8100,8720,1.0
8100,9749,1.0
8101,8100,1.0
8101,8103,2.0
8101,8308,1.0
8101,8309,2.0
8101,8513,4.0
8101,8515,1.0
8101,8518,1.0
8101,8519,3.0
8102,8102,1.0
8102,8306,1.0
8102,8308,1.0
8102,8309,3.0
8102,8513,1.0
8102,8515,1.0
8102,9543,1.0
8306,8101,1.0
8306,8103,3.0
8306,8309,1.0
8306,8513,3.0
8306,8515,1.0
8306,8720,1.0
8306,9749,1.0
8307,8100,1.0
8307,8103,3.0
8307,8308,1.0
8307,8513,3.0
8307,8515,1.0
8307,8519,2.0
8308,8103,1.0
8308,8307,1.0
8308,8513,1.0
8308,8514,1.0
8308,8515,2.0
8308,8519,2.0
8309,8102,1.0
8309,8308,2.0
8309,8309,3.0
8309,8513,2.0
8309,8515,3.0
8309,8933,3.0
8309,9749,4.0
8310,8306,1.0
8310,8309,1.0
8310,8719,1.0
8310,9137,1.0
8310,9343,1.0
8514,8103,3.0
8514,8308,2.0
8514,8309,1.0
8514,8513,4.0
8514,8515,1.0
8514,8519,1.0
8514,8720,1.0
8514,9749,1.0
8515,8103,2.0
8515,8307,3.0
8515,8308,3.0
8515,8309,5.0
8515,8310,1.0
8515,8513,2.0
8515,8514,1.0
8515,8515,4.0
8515,8720,1.0
8515,9549,1.0
8515,9749,1.0
8719,9955,1.0
8513,8103,1.0
8513,8308,1.0
8513,8309,5.0
8513,8513,4.0
8513,8515,2.0
8513,9749,2.0
8516,8519,1.0
8720,8103,1.0
8720,8307,1.0
8720,8513,2.0
8720,8719,1.0
8720,9749,1.0
7903,9138,1.0
8517,8100,1.0
8517,8519,1.0
8721,8101,1.0
8721,8103,1.0
8721,8309,1.0
8721,8513,1.0
8721,8719,1.0
8721,8931,1.0
8721,8933,1.0
8721,9137,1.0
8721,9343,2.0
8721,9749,1.0
8304,8100,1.0
8304,8513,1.0
8519,8100,1.0
8519,8103,1.0
8519,8308,1.0
8519,8309,1.0
8519,8518,1.0
8519,8519,1.0
8519,8931,1.0
8519,9343,7.0
8520,8100,1.0
8520,8515,1.0
8520,8518,2.0
8520,8933,1.0
8520,9137,2.0
8520,9138,1.0
8520,9343,5.0
8931,8100,1.0
8931,8518,1.0
8931,9137,1.0
8931,9138,1.0
8931,9343,9.0
8311,8103,1.0
8311,8933,1.0
8512,8103,1.0
8512,8309,1.0
8518,8103,2.0
8518,8519,2.0
8518,8931,1.0
8518,8933,1.0
8518,9137,2.0
8518,9343,3.0
8116,8116,16.0
8116,8322,3.0
8116,8734,4.0
