src_id,dst_id,weight
8103,8100,1.0
8103,8101,2.0
8103,8306,3.0
8103,8307,3.0
8103,8308,1.0
8103,8311,1.0
8103,8512,1.0
8103,8513,1.0
8103,8514,3.0
8103,8515,2.0
8103,8518,2.0
8103,8519,1.0
8103,8720,1.0
8103,8721,1.0
8100,7888,1.0
8100,8101,1.0
8100,8304,1.0
8100,8307,1.0
8100,8517,1.0
8100,8519,1.0
8100,8520,1.0
8100,8931,1.0
8101,8306,1.0
8101,8721,1.0
8102,8102,1.0
8102,8309,1.0
8306,8102,1.0
8306,8310,1.0
8306,8718,1.0
8306,9337,1.0
8306,9339,1.0
8307,8308,1.0
8307,8515,3.0
8307,8720,1.0
8307,9339,1.0
8308,8101,1.0
8308,8102,1.0
8308,8103,1.0
8308,8307,1.0
8308,8309,2.0
8308,8513,1.0
8308,8514,2.0
8308,8515,3.0
8308,8519,1.0
8308,9131,1.0
8308,9545,1.0
8309,8101,2.0
8309,8102,3.0
8309,8103,3.0
8309,8306,1.0
8309,8309,3.0
8309,8310,1.0
8309,8314,1.0
8309,8509,1.0
8309,8512,1.0
8309,8513,5.0
8309,8514,1.0
8309,8515,5.0
8309,8519,1.0
8309,8718,2.0
8309,8721,1.0
8309,8925,2.0
8309,8926,1.0
8309,9132,1.0
8309,9133,1.0
8310,8515,1.0
8514,8308,1.0
8514,8313,1.0
8514,8515,1.0
8514,8928,1.0
8515,8101,1.0
8515,8102,1.0
8515,8103,2.0
8515,8303,1.0
8515,8306,1.0
8515,8307,1.0
8515,8308,2.0
8515,8309,3.0
8515,8513,2.0
8515,8514,1.0
8515,8515,4.0
8515,8520,1.0
8515,8718,2.0
8515,9129,1.0
8515,9133,1.0
8515,9339,1.0
8515,9543,1.0
8515,9749,1.0
8719,8099,1.0
8719,8310,1.0
8719,8720,1.0
8719,8721,1.0
8719,9543,1.0
8513,7896,2.0
8513,8099,2.0
8513,8101,4.0
8513,8102,1.0
8513,8103,5.0
8513,8303,2.0
8513,8304,1.0
8513,8306,3.0
8513,8307,3.0
8513,8308,1.0
8513,8309,2.0
8513,8314,1.0
8513,8513,4.0
8513,8514,4.0
8513,8515,2.0
8513,8718,2.0
8513,8720,2.0
8513,8721,1.0
8513,8722,1.0
8513,8925,2.0
8513,8926,3.0
8513,8927,2.0
8513,9129,2.0
8513,9132,6.0
8513,9543,3.0
8513,9545,1.0
8513,9749,1.0
8720,8100,1.0
8720,8306,1.0
8720,8514,1.0
8720,8515,1.0
8094,7888,2.0
8519,8101,3.0
8519,8103,1.0
8519,8307,2.0
8519,8308,2.0
8519,8314,3.0
8519,8514,1.0
8519,8516,1.0
8519,8517,1.0
8519,8518,2.0
8519,8519,1.0
8519,8724,2.0
8519,8725,1.0
8519,8934,1.0
8519,9136,3.0
8519,9137,2.0
8519,9138,2.0
8519,9342,2.0
8519,9343,1.0
8519,9344,2.0
8519,9550,1.0
8520,9142,1.0
8931,8518,1.0
8931,8519,1.0
8931,8721,1.0
8931,8724,1.0
8931,8927,2.0
8931,8932,1.0
8931,8933,2.0
8931,8934,1.0
8931,9136,1.0
8931,9137,4.0
8931,9138,1.0
8931,9342,5.0
8931,9344,1.0
8931,9550,1.0
8518,8101,1.0
8518,8103,1.0
8518,8519,1.0
8518,8520,2.0
8518,8925,1.0
8518,8931,1.0
8518,9550,1.0
8116,7495,1.0
8116,7498,1.0
8116,7499,1.0
8116,7704,1.0
8116,7909,1.0
8116,7910,7.0
8116,7911,3.0
8116,7912,3.0
8116,8113,3.0
8116,8114,1.0
8116,8115,1.0
8116,8116,16.0
8116,8117,13.0
8116,8322,4.0
8116,8323,4.0
8116,8324,1.0
8116,8525,5.0
8116,8526,3.0
8116,8527,6.0
8116,8528,8.0
8116,8529,8.0
8116,8530,3.0
8116,8534,1.0
8116,8734,11.0
8116,8735,3.0
8116,8736,4.0
8116,8938,1.0
8116,8940,1.0
8116,8941,16.0
8116,8942,5.0
8116,8943,9.0
8116,8944,5.0
8116,9142,1.0
8116,9146,1.0
8116,9149,1.0
8322,7291,1.0
8322,7910,2.0
8322,7911,1.0
8322,7912,1.0
8322,8115,1.0
8322,8116,3.0
8322,8117,5.0
8322,8525,3.0
8322,8526,3.0
8322,8527,2.0
8322,8528,5.0
8322,8529,4.0
8322,8734,7.0
8322,8735,3.0
8322,8939,1.0
8322,8940,2.0
8322,8941,2.0
8322,9145,2.0
8322,9146,1.0
8528,8117,1.0
8534,8741,1.0
8734,7704,1.0
8734,7910,1.0
8734,8115,1.0
8734,8116,4.0
8734,8117,3.0
8734,8322,1.0
8734,8323,1.0
8734,8525,1.0
8734,8527,1.0
8734,8528,2.0
8734,8529,7.0
8734,8733,1.0
8734,8734,13.0
8734,8735,10.0
8734,8739,1.0
8734,8938,2.0
8734,8939,1.0
8734,8940,6.0
8734,8941,16.0
8734,8942,3.0
8734,8943,2.0
8734,8944,4.0
8734,9142,3.0
8734,9143,2.0
8734,9144,2.0
8734,9145,1.0
8734,9146,6.0
8734,9147,3.0
8734,9149,3.0
8734,9151,1.0
8734,9348,1.0
8734,9349,2.0
8734,9350,2.0
8734,9355,1.0
8734,9357,1.0
8734,9554,1.0
8734,9555,1.0
8734,9556,1.0
8734,9558,3.0
8734,9559,1.0
8734,9560,6.0
8734,9561,2.0
8734,9762,3.0
8735,8941,1.0
8735,9557,1.0
8940,7910,1.0
8940,8115,1.0
8940,8116,1.0
8940,8117,1.0
8940,8324,1.0
8940,8525,1.0
8940,8527,1.0
8940,8528,5.0
8940,8529,6.0
8940,8534,1.0
8940,8734,6.0
8940,8735,2.0
8940,8736,1.0
8940,8739,1.0
8940,8937,1.0
8940,8940,4.0
8940,8941,9.0
8940,8942,1.0
8940,8943,1.0
8940,8944,2.0
